,Arquivo,Número de variáveis,Quantidade de produtos,Algoritmo,Tempo de execução,É ótimo,Melhor Valor,Elementos melhor valor,BitMask melhor valor,Lower bound residual
109,instancias/bqp50-4.txt,50,160,B&B FIFO,60.000036001205444,False,inf,[],,-2587.0
110,instancias/bqp50-4.txt,50,160,B&B LIFO,60.000056743621826,False,-1677.0,"[49, 45, 41, 39, 38, 36, 34, 31, 25, 24, 23, 22, 21, 20, 17, 16, 15, 11, 10]",0b1000100010110101001000001111110011100011000000000,-1761.0
111,instancias/bqp50-4.txt,50,160,B&B LC,60.000014543533325,False,inf,[],,-2938.0
112,instancias/bqp250-9.txt,250,3395,Brute force,60.000186920166016,False,-1604.0,"[249, 248, 243, 242, 239, 236, 235]",0b110000110010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-441.0
113,instancias/bqp250-9.txt,250,3395,B&B FIFO,60.001412868499756,False,inf,[],,-168885.0
114,instancias/bqp250-9.txt,250,3395,B&B LIFO,60.00014281272888,False,-3028.0,"[248, 243, 242, 239, 235, 232, 230, 226, 225, 224, 220, 218, 214]",0b10000110010001001010001110001010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-3133.0
115,instancias/bqp250-9.txt,250,3395,B&B LC,60.00100040435791,False,inf,[],,-169837.0
116,instancias/bqp50-10.txt,50,158,Brute force,60.000025510787964,False,-806.0,"[46, 45, 44, 43, 41, 40, 39, 38, 34, 33, 31]",0b1111011110001101000000000000000000000000000000,-41.0
117,instancias/bqp50-10.txt,50,158,B&B FIFO,60.00000977516174,False,inf,[],,-2586.0
118,instancias/bqp50-10.txt,50,158,B&B LIFO,60.00002980232239,False,-1103.0,"[46, 45, 44, 43, 42, 40, 39, 38, 36, 34, 33, 31, 26, 25, 23, 22, 21, 19, 18]",0b1111101110101101000011011101100000000000000000,-1080.0
119,instancias/bqp50-10.txt,50,158,B&B LC,60.00000882148743,False,inf,[],,-2931.0
120,instancias/bqp50-3.txt,50,182,Brute force,60.000025510787964,False,-894.0,"[49, 45, 44, 41, 40, 39, 36, 30]",0b1000110011100100000100000000000000000000000000000,-15.0
121,instancias/bqp50-3.txt,50,182,B&B FIFO,60.00001120567322,False,inf,[],,-3204.0
122,instancias/bqp50-3.txt,50,182,B&B LIFO,60.0000262260437,False,-1327.0,"[49, 45, 44, 42, 41, 40, 39, 36, 26, 25, 20, 15]",0b1000110111100100000000011000010000100000000000000,-1695.0
123,instancias/bqp50-3.txt,50,182,B&B LC,60.00006151199341,False,inf,[],,-2898.0
